Algorithm,Matrix Size,Leaf Size,Execution Time,Complexity
Strassen avec Seuil,4,16,0.000635603,n^3
Strassen avec Seuil,4,32,0.000642081,n^3
Strassen avec Seuil,4,64,0.000703741,n^3
Strassen avec Seuil,4,128,0.000708916,n^3
Strassen avec Seuil,4,256,0.000671188,n^3
Strassen avec Seuil,4,512,0.000632566,n^3
Strassen avec Seuil,4,1024,0.000625997,n^3
Strassen avec Seuil,5,16,0.00699605,n^3
Strassen avec Seuil,5,32,0.00476571,n^3
Strassen avec Seuil,5,64,0.00387292,n^3
Strassen avec Seuil,5,128,0.00368552,n^3
Strassen avec Seuil,5,256,0.00360006,n^3
Strassen avec Seuil,5,512,0.00492943,n^3
Strassen avec Seuil,5,1024,0.00402181,n^3
Strassen avec Seuil,6,16,0.0370092,n^3
Strassen avec Seuil,6,32,0.0312223,n^3
Strassen avec Seuil,6,64,0.0300684,n^3
Strassen avec Seuil,6,128,0.0301204,n^3
Strassen avec Seuil,6,256,0.0305623,n^3
Strassen avec Seuil,6,512,0.0300651,n^3
Strassen avec Seuil,6,1024,0.0389669,n^3
Strassen avec Seuil,7,16,0.437234,n^3
Strassen avec Seuil,7,32,0.25188,n^3
Strassen avec Seuil,7,64,0.225013,n^3
Strassen avec Seuil,7,128,0.233644,n^3
Strassen avec Seuil,7,256,0.236074,n^3
Strassen avec Seuil,7,512,0.237196,n^3
Strassen avec Seuil,7,1024,0.238286,n^3
Strassen avec Seuil,8,16,1.99093,n^3
Strassen avec Seuil,8,32,1.78064,n^3
Strassen avec Seuil,8,64,1.77586,n^3
Strassen avec Seuil,8,128,1.87836,n^3
Strassen avec Seuil,8,256,2.05683,n^3
Strassen avec Seuil,8,512,2.05339,n^3
Strassen avec Seuil,8,1024,2.04985,n^3
Strassen avec Seuil,9,16,14.9261,n^3
Strassen avec Seuil,9,32,12.889,n^3
Strassen avec Seuil,9,64,12.8106,n^3
Strassen avec Seuil,9,128,13.7553,n^3
Strassen avec Seuil,9,256,14.3135,n^3
Strassen avec Seuil,9,512,16.1376,n^3
Strassen avec Seuil,9,1024,16.16,n^3
Strassen avec Seuil,10,16,103.152,n^3
Strassen avec Seuil,10,32,90.1443,n^3
Strassen avec Seuil,10,64,88.9141,n^3
Strassen avec Seuil,10,128,93.3946,n^3
Strassen avec Seuil,10,256,111.547,n^3
Strassen avec Seuil,10,512,128.011,n^3
Strassen avec Seuil,10,1024,164.862,n^3
