algo,size,time,cost,final_path
glouton,5,39.37,2738.191365047548,5,
approx,5,62.853,3623.5610742254066,5,
approx,5,62.494,3289.269094005039,5,
glouton,5,34.341,3705.5026498923326,5,
glouton,5,65.41,3419.1206943664984,5,
glouton,5,34.26,4420.48145462144,5,
approx,5,82.515,2738.191365047548,5,
approx,5,93.602,4420.48145462144,5,
glouton,5,41.975,4640.261902403719,5,
approx,5,90.18,3962.906602520966,5,
approx,10,161.148,6621.790792828951,10,
glouton,10,143.037,5965.450998140655,10,
glouton,10,181.885,8201.527993414747,10,
approx,10,488.487,7025.391604754246,10,
glouton,10,121.268,5494.781439940992,10,
approx,10,272.41,6286.127153029436,10,
glouton,10,134.658,6844.813417435957,10,
approx,10,199.669,6212.56085970952,10,
glouton,10,70.922,5661.842420878483,10,
approx,10,382.799,5661.842420878483,10,
approx,15,309.33,6814.811389138958,15,
glouton,15,193.895,6814.811389138958,15,
approx,15,302.759,7705.919523095955,15,
glouton,15,334.466,7175.08837762145,15,
glouton,15,202.788,7845.86132010139,15,
approx,15,638.795,7175.08837762145,15,
glouton,15,181.026,8087.190088130094,15,
approx,15,392.401,9573.203345641537,15,
approx,15,419.52,7278.8595224388955,15,
glouton,15,237.352,7278.8595224388955,15,
glouton,20,185.47,8853.034489487414,20,
approx,20,728.078,9706.837310470793,20,
glouton,20,217.967,8860.455103937433,20,
approx,20,5848.889,11104.47814057555,20,
glouton,20,508.878,10549.639410853693,20,
approx,20,564.777,9368.13949093271,20,
glouton,20,163.536,9194.399939298532,20,
approx,20,653.854,8732.560465798068,20,
approx,20,1300.366,9782.214283490875,20,
glouton,20,477.69,7245.249742695437,20,
approx,50,6209.759,16198.159489540738,50,
glouton,50,1729.412,14265.735946834231,50,
glouton,50,1337.891,16692.90686834059,50,
approx,50,11387.963,15056.726738698066,50,
glouton,50,2389.964,12931.966706480005,50,
glouton,50,665.591,16334.2052949045,50,
approx,50,12823.392,14872.074245322812,50,
approx,50,7148.109,13685.808217743295,50,
glouton,50,2371.298,13864.475295631093,50,
approx,50,5942.582,15371.368863480096,50,
approx,100,43961.603,19888.829460423236,100,
glouton,100,4963.117,20004.968634439694,100,
glouton,100,5555.226,20172.997557475464,100,
approx,100,46130.111,20428.954145957265,100,
glouton,100,2534.906,20385.269384274186,100,
approx,100,52573.894,20640.879777287504,100,
glouton,100,3044.312,18107.718875580587,100,
glouton,100,3410.206,19266.3024657915,100,
approx,100,79660.845,19604.114034291317,100,
approx,100,113271.387,20066.937981353647,100,
glouton,250,28820.998,29833.524754734863,250,
glouton,250,28011.075,27571.083357983818,250,
glouton,250,14359.513,30155.28854794471,250,
approx,250,1106429.8,32708.099979149472,250,
glouton,250,17386.538,28808.98339788473,250,
approx,250,1379776.911,33835.42283050664,250,
approx,250,970535.427,31983.833844837383,250,
glouton,250,30421.956,29249.446930688868,250,
approx,250,948847.614,31480.951067242702,250,
approx,250,932176.503,30967.03908812475,250,
glouton,500,169334.538,41348.65617258588,500,
glouton,500,117484.607,42864.90868523068,500,
glouton,500,58246.289,41462.696111554455,500,
glouton,500,115689.776,42379.37606305981,500,
glouton,500,116028.304,42495.48815694876,500,
approx,500,5488979.76,46674.852332921524,500,
approx,500,6861246.318,47425.818366224965,500,
approx,500,5863732.215,45861.00574002247,500,
glouton,750,253883.048,51915.45797709896,750,
approx,500,7550746.993,44512.0483059013,500,
glouton,750,205248.499,50925.143701041874,750,
glouton,750,258877.092,49726.54752248202,750,
glouton,750,157027.837,50948.953972089424,750,
approx,500,8302186.83,45613.311450494024,500,
glouton,750,130088.323,49274.90350578477,750,
approx,750,19588722.646,55951.765784340256,750,
approx,750,18456974.587,54270.12263313744,750,
glouton,1000,459535.094,58408.094368289785,1000,
glouton,1000,461983.815,58489.911477802445,1000,
approx,750,19074675.335,53047.08893154165,750,
glouton,1000,290153.253,58609.98519545287,1000,
approx,750,27168492.181,53409.81271455455,750,
glouton,1000,241675.095,57605.94027609604,1000,
approx,750,27436928.205,53245.068981303324,750,
glouton,1000,452021.893,59441.38356618066,1000,
approx,1000,44299545.016,65292.751477510836,1000,
glouton,1250,422346.582,64678.70002034879,1250,
approx,1000,45327735.142,62772.14031775787,1000,
glouton,1250,392597.781,66406.29913927255,1250,
approx,1000,42293784.56,65280.083005680695,1000,
glouton,1250,395183.945,66507.67831685652,1250,
approx,1000,72400687.732,63096.307627991315,1000,
glouton,1250,629421.815,63048.348308915876,1250,
approx,1000,67938008.444,62917.6973132774,1000,
glouton,1250,620667.876,66670.21613878717,1250,
approx,1250,89901957.708,72135.90071501733,1250,
approx,1250,98413150.376,72329.67553857587,1250,
progdyn,5,154.093,4539.242038804008,5,
progdyn,5,250.867,3597.54598926511,5,
progdyn,5,189.281,2294.6536541961304,5,
progdyn,10,18584.282,5921.729558518779,10,
progdyn,10,19306.303,5840.671032629127,10,
progdyn,10,19763.068,6520.501234680836,10,
approx,1250,97078652.968,72018.95302062643,1250,
progdyn,15,1499556.096,6197.1398210227435,15,
progdyn,15,1428042.323,6661.284711761154,15,
progdyn,15,1897618.635,7872.114820377555,15,
approx,1250,87884053.747,70323.88697849285,1250,
approx,1250,97650473.976,70484.70213619243,1250,
progdyn,20,71653286.172,7677.278815470703,20,
